City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
280,gaoual,11.75,-13.2,25.42,91,99,0.76,GN,1696026300
281,strezhevoy,60.7333,77.5889,-0.58,83,22,4.47,RU,1696026300
282,alaghsas,17.0187,8.0168,33.57,13,4,5.28,NE,1696026300
283,wellington,-41.2866,174.7756,8.81,83,100,12.86,NZ,1696026300
284,prineville,44.2999,-120.8345,11.92,86,100,0.0,US,1696026300
285,vilyuysk,63.7553,121.6247,3.61,88,99,3.04,RU,1696025743
286,san antonio de pale,-1.4014,5.6325,24.76,85,46,4.43,GQ,1696025782
287,sishui,35.6489,117.2758,15.0,93,0,0.82,CN,1696026301
288,hailey,43.5196,-114.3153,20.0,28,0,4.63,US,1696026301
289,mthatha,-31.5889,28.7844,17.31,77,48,0.0,ZA,1696026301
290,usinsk,65.9939,57.5281,-0.15,82,83,3.49,RU,1696025853
291,whakatane,-37.9585,176.9854,14.17,85,97,0.45,NZ,1696025742
292,amungan,15.3652,119.9582,26.82,84,89,1.47,PH,1696026302
293,cill airne,52.05,-9.5167,10.63,93,100,1.74,IE,1696026302
294,waingapu,-9.6567,120.2641,23.4,83,48,2.47,ID,1696026302
295,minas de marcona,-15.2119,-75.1103,16.02,76,22,7.1,PE,1696025788
296,jumla,29.2747,82.1838,12.0,78,5,1.82,NP,1696026303
297,mount isa,-20.7333,139.5,24.87,33,0,6.69,AU,1696025738
298,callao,-12.0667,-77.15,23.73,77,20,4.12,PE,1696025466
299,bridgewater,44.3835,-64.5155,15.82,92,85,1.54,CA,1696026303
300,as sulayyil,20.4607,45.5779,28.06,12,0,2.45,SA,1696026303
301,chabahar,25.2919,60.643,28.11,60,0,3.38,IR,1696026304
302,bakchar,57.0186,82.0711,4.73,97,29,2.48,RU,1696025848
303,yerofey pavlovich,53.9667,121.9667,1.35,90,64,1.72,RU,1696025805
304,isafjordur,66.0755,-23.124,3.65,86,100,2.72,IS,1696025771
305,iskateley,67.6803,53.1512,2.05,77,99,7.2,RU,1696025775
306,ghormach,35.7306,63.7826,15.84,33,1,1.54,AF,1696026304
307,saint-joseph,-21.3667,55.6167,20.26,75,27,3.57,RE,1696026305
308,slinger,43.3336,-88.2862,22.49,73,9,1.79,US,1696026305
309,san antonio,29.4241,-98.4936,36.66,35,40,5.14,US,1696026178
310,antonio enes,-16.2325,39.9086,23.68,85,10,3.91,MZ,1696026305
311,nago,26.5881,127.9761,28.47,87,8,2.06,JP,1696026305
312,kotido,2.9806,34.1331,24.55,46,33,2.77,UG,1696026306
313,tupiza,-21.45,-65.7167,18.07,36,1,6.33,BO,1696025827
314,nouadhibou,20.931,-17.0347,22.69,79,43,9.53,MR,1696026306
315,angaur state,6.906,134.13,28.06,81,56,8.15,PW,1696025783
316,cannonvale,-20.2833,148.7,23.66,72,16,5.86,AU,1696026306
317,anzio,41.4853,12.6179,21.74,71,2,3.2,IT,1696026307
318,las palmas,28.4204,-14.0131,23.44,65,0,2.06,ES,1696026307
319,arica,-18.475,-70.3042,19.75,77,100,4.63,CL,1696026308
320,shakhovskaya,56.0283,35.5097,12.58,83,86,3.41,RU,1696026308
321,tan-tan,28.438,-11.1032,22.4,79,1,2.54,MA,1696026308
